character	description
Lizard Baraka	Lizard Baraka doesn't react to opponent's Basic Combo attacks for 15 seconds after tag-in. In a fight, he passively generates power over time and receives 2% Damage boost each time he hits the opponent with an additional 1% Damage boost if the hit was critical. On tag-out Lizard Baraka loses Damage boost and gains Regeneration for 10 seconds. Active opponent's healing is reduced by 25% for each Lizard character in a team. Outworld teammates have 25% Critical hit Chance Boost.
Scourge Baraka	For each Outworld character on his team, Baraka performs an additional Combo Ender attack which applies a bleed DOT with increased duration. Baraka's bleed DOTs can stack.
Dragon Breath Bo' Rai Cho	Combo enders and critical hits have a 50% Chance to inflict additional damage on one of the tagged-out opponents. +25% critical hit chance for all Martial Artists.
Covert Ops Cassie Cage	All Spec Ops teammates have a 25% chance of unblockable attacks.
Kombat Cup Cassie Cage	On tag-in, Kombat Cup Cassie Cage brands an active opponent as an Outsider for 20 sec. Any attack against the Outsider is unblockable with 50% chance. When an Outsider tries to tag-out, Cassie's drone deals 30% damage to their current health. The drone doesn't deal damage to Bosses. All Kombat Cup Characters on the team are immune to Cripple.
Standard Cassie Cage	+50% health if teamed with Johnny Cage, +50% attack if teamed with Sonya Blade.
Strike Force Cassie Cage	Each time Cassie tags-in, she drains 1 bar of power from the enemy team, as well as slowing the current opponent for 4-16 seconds. Strike Force teammates receive +15-25% more health and attack. On tag-in, Strike Force teammates are immune to lethal and critical hits for 5-7 seconds.
Undercover Cassie Cage	+20% to all damage vs. Netherrealm and Outworld.
Standard D'Vorah	Spikes damage opponents who use basic attacks. Immune to poison and bleed.
Swarm Queen D'Vorah	D'Vorah's Vortex Swarm (Special Attack 2) can inflict multiple effects on the opponent. Immune to poison.
Venomous D'Vorah	D'Vorah's basic attacks do +100% damage per negative effect on the opponent. D'Vorah's Poison can stack 2 times.
Wretch D'Vorah	When D'Vorah defeats an opponent, she applies a low/medium/high damage, infinite poison DOT to the opposing team. Her teammates do +10-30% critical damage against enemies affected by poison.
Klassic Ermac	Opponents start the fight with Soul Siphon DOT, that takes 10% of their health and prevents recovery over 30 seconds (even if Ermac is tagged-out or defeated). Soul Siphon DOT is not affected by any modifiers or resistances. When Ermac is defeated (and is not the last one on his team) he explodes dealing massive damage to an active opponent.
Master of Souls Ermac	Starts with +1 bar of power for each Outworld teammate.
Pharaoh Ermac	For every Character that is defeated, and for each opponent that resurrects, your team takes less damage and gains increasing critical hit chance. These effects stack.
Spectral Ermac	When a teammate is defeated, gain 50% of their attack and toughness. Max once per match.
Standard Ermac	When a teammate is defeated, gain 40% of their attack and toughness. Max once per match.
Black Dragon Erron Black	Black Dragon Erron Black has a 30-50% chance to give covering fire to his teammate when he tags-out, and to support a teammate when an opponent tags-in. When tagged out, Black Dragon Erron Black provides cover fire for his Black Dragon teammates every 20-12 seconds. Cover fire has 35% chance to Stun. Achieving 90%+ on Special Attack 1 makes it unblockable. Black Dragon Erron Black can join any class.
Day of the Dead Erron Black	When using special attacks, Day of the Dead Erron Black has a 20-40% chance to get them for free and power drain the opponent. When this happens, 30% of the time he will power drain the whole opponent team. When defeated, Erron Black's ghost has a 20-50% chance to assist Day of the Dead characters on combo enders and special attacks.
Gunslinger Erron Black	+30% attack vs Spec Ops. Achieving 80%+ on Stand Off (Special Attack 2) makes it unblockable and a critical hit.
Nightmare Freddy Krueger	One of Freddy's opponents is trapped in a Nightmare. Freddy has a 30-50% chance for Lethal Blow to that opponent. If Freddy Krueger has 2 Nightmare teammates, he can trap an additional opponent in the Nightmare. Nightmare teammates gain +10% critical hit chance on basic attacks.
MK11 Frost	While MK11 Frost is active, she charges Time Freeze Impulse extra attack every 30 sec. Activation of the Impulse grants her 20% of her maximum health and power, and drastically slows the time around her for 6 seconds. Each hit on the opponent affected by the Impulse applies stacking Kinetic effect. When the time flow returns to normal, the opponent receives additional damage based on the amount of the Kinetic stacks. Special Attacks started while the Impulse is active apply Team Frostbite for 7 sec.
MK11 Fujin	Fujin has increased Combo Ender chance. Performing a Combo Ender triggers a chain of three challenges. Achieving 80% on the challenge inflicts the Hurricane effect on the enemy for 20 seconds. The first Hurricane increases all incoming damage to the enemy by 10/15/30%. The second slows the enemy down by 10/20/40%. The third Hurricane disables enemy's Special Attacks. If the opponent is already inflicted with Hurricane the chain of challenges will not start. Lightning hitting the Hurricane strikes the enemy three more times.
Onslaught Fujin	After 10 successful Basic Combo Attack hits, Fujin can choose to gain Tornado Ambush buff or an instant Random Bonus. If Basic Combo Attack is blocked, it counts as 0.5 hits for Air Wisdom. Tornado Ambush is active for 6 seconds, reduces the active opponent's attack by 10% (6% for bosses) and increases Fujin's attack by the same percentage for the rest of the fight. If a new opponent tags-in while Tornado Ambush is active, their attack will also be reduced. Maximum Fujin's attack boost and maximum attack reduction for each opponent - 50%. While tagged-out Fujin loses 5% of the increased attack amount every 5 seconds. Random bonuses: Instant Damage, Regain Health Instantly, Dispel, Drain 1 Bar of power Instantly, Gain 1 Bar of power Instantly
MK1 Geras	MK1 Geras can use his power to counter-attack the opponent and activate the Hourglass. While Geras is active, with their help he receives less damage, and also gradually heals himself and alive teammates, they receive 3% max Health for each 8-6% of his max power. Instead, Hourglass absorbs 50% of Geras and his current opponent power generation. When Geras tags-out, a Dust Storm begins, it slows down any opponent and is active for 7 sec. For every 25% of Health Geras has, his Basic attacks deal more damage, up to 60-100%. Cost of the Team Healing:  8-6%. Maximum Basic attack damage boost: 60-100%
Nightmare Ghostface	Ghostface alternates between Billy and Stu personalities, each offering unique combat bonuses. Billy gains a Ghostspirit every 2 Basic Attacks, boosting damage by 5% per stack (max 5 stacks). Stu switches in with a Shield active, removing Billy’s stacks and healing 7% of max health per removed stack. Each removed stack grants a 5% Power Generation boost. If Billy reaches 5 stacks of Ghostspirit, he becomes Manic for 13 seconds on Special Attack 2—granting 180% damage and disabling opponent tag-outs. While Manic, Billy ignores opponent attacks during combos and becomes unstoppable. Stu can only switch back once Billy calms down or after using Special Attack 2 or Fatal Blow.
Klassic Goro	Once per match, 10-8 seconds after Goro is defeated, Goro comes back into the fight with 25-50% health and with a devastating stomp. All characters on Goro's team do +10-20% attack.
Tigrar Fury Goro	Combo enders and special attacks have a chance of a fire DOT effect. All characters that do fire attacks on Goro's team have a 25% chance of causing fire DOT to enemy upon tagging-in.
American Treasure Homelander	Incoming damage reduced by 50%. At match start, one random opponent becomes the Archenemy and one random teammate becomes the Parental Figure. All opponents (except the Archenemy) deal 50% less damage to Homelander. Defeating opponents grants Dominance stacks; defeating the Archenemy gives 2 stacks. Each stack gives +25% attack. While both the Parental Figure and Homelander are alive and one of them is active, they gain Bonding effects over time. Each Bonding gives 1% Lethal chance boost for Special Attack 2, up to a maximum of 33 stacks. If Parental Figure with the maximum Bonding is defeated, Homelander wreaks blind revenge and deals extreme damage to the active opponent.
Cybernetic Jacqui Briggs	Takes 30% less damage vs. Netherrealm and Outworld.
High Tech Jacqui Briggs	All Spec Ops teammates have +20% increased power generation
Kosplay Jacqui Briggs	On tag-in Kosplay Jacqui Briggs mimicks one of the six Klassic Ninjas, each giving her a different unique combat effect and high bonuses against a certain Character type. Scorpion Kosplay: Special Attack 2 Team Fire, Combo Ender 1 Fire, Fire has increased Power Drain vs Spec Ops. Tremor Kosplay: Special Attack 2 Stun 30% Lethal Blow chance vs Netherrealm. Rain Kosplay: Special Attack 1 Dispel, 50% Basic Attack damage boost vs Outworld. Reptile Kosplay: Special Attack 2 Blind, Combo Ender 1 Poison, Poison Aura is active vs Martial Artists. Sub-Zero Kosplay: Special Attack 1 Frostbite, Combo Ender 1 Frostbite, 50% Critical Hit chance boost vs Outworld. Ermac Kosplay: Special Attack 2 Vampirism, Tag-in attack Vampirism, Damage reflection of blocked Special Attacks vs Netherrealm.
Standard Jacqui Briggs	The finishing blow of Jacqui's combo ender does +100% damage and stuns.
Assassin Jade	Assassin Characters on the team have 20-40% chance to dodge any special attack or combo ender. Jade retaliates with an unblockable, crippling attack that deals low/medium/high damage.
Day of the Dead Jade	After using Evocation (special attack 2) and after tagging-out, Day of the Dead Jade has a 20-40% chance to give all Day of the Dead Characters a Ghost Shield that reflects all damage at the enemy for 5-7 seconds.
Klassic Jade	Klassic Jade has 80% chance to apply Blind on any Special Attack. Every time an opponent misses an attack, Klassic Jade gains 10% Speed increase for 15 seconds, stacking up to 50%.
Lizard Jade	For every debuff that Lizard Jade or her teammates apply to the active opponent, her whole team gains the Team Thrill effect for 20 seconds (stack up to 5 times). Each of the Team Thrill effects buffs all of Lizard Jade's Basic and Special attacks to additionally deal 10% of its damage to all of the opponents. Lizard Jade's Combo Enders have 50% chance to apply Curse. With each Team Thrill effect, Lizard Jade's team intimidates the active opponent into their Power generation being reduced by 10%.
MK11 Jade	Jade has a 15-25% chance to dodge basic attacks, leaving the opponent slowed and open to counter attack for a brief time. MK11 teammates are healed by fire/bleed/poison.
Nightmare Jason Voorhees	Jason has 30-50% chance to evade all special attacks. After evading, Jason attacks and stuns his opponent. Nightmare teammates' special attack 2 have 20-30% chance of being unblockable.
Slasher Jason Voorhees	Even when defeated, Jason rises again with increased damage and +1 bar of power... twice.
Unstoppable Jason Voorhees	Even when defeated, Jason rises again with increased damage and +1 bar of power.
CoS Jax Briggs	After Jax or his opponent uses a special attack, there is s 30-50% chance Circle of Shadow Jax gains invulnerability for 2-4 seconds. Jax and his team gain +5-15% health for every Circle of Shadow Character on the team.
Farmer Jax Briggs	+30% recovery for Spec Ops teammates.
Heavy Weapons Jax Briggs	+30% toughness for all Spec Ops teammates. L.A.W. Blast (special attack 2) deals damage to the entire enemy team and breaks shields.
Klassic Jax Briggs	When blocking, there is 10-20% chance that all damage will be ignored from a Special Attack. Also, when blocking basic attacks, there is 10-20% chance to apply Weaken, Power Drain, or Cripple.
Onslaught Jax Briggs	Onslaught Jax can accumulate Heat effect while fighting. Jax gets 1 Heat stack for any attack received from an opponent, and for each performed successful Basic Attack he receives 2 Heat stacks. Jax gets 1% attack boost and 2% resistance to all negative effects per active Heat stack. Maximal amount of Heat stacks - 30. Successful Fatal Blow instantly charges Heat to maximum. When the Heat is fully accumulated, Jax can release it to instantly heal one of his team members, including himself, by 15% of their max Health. When the Heat is released, Jax applies Shield Break on his opponent.
Standard Jax Briggs	+15% toughness for Spec Ops teammates.
A-List Johnny Cage	+30% health for Spec Ops teammates.
Klassic Movie Johnny Cage	Along with all the other attacks, Klassic Movie Johnny Cage can perform special Combo Sequences. The Combo Sequences spend a bit of Power and must be performed by heart. "Caged Rage" - Pierce your enemy with a spear and make them Bleed: Swipe left → Tap → Swipe right. "Exiting the Dragon of Death" - Smash'n'Burn your foe: A Few Taps → Swipe left → Swipe right. "The Gist of my Fist" - Bring down an opponent with a hail of blows: Swipe right → A Few Taps.
Kombat Cup Johnny Cage	+15% to attack, health, toughness and recovery for all Kombat Cup characters on the team. When the opponent tries to tag-out, there is a 50% chance they get stunned by an incoming football instead.
Ninja Mime Johnny Cage	+30% recovery for Martial Artist teammates.
Standard Johnny Cage	+15% health for Spec Ops teammates.
Strike Force Johnny Cage	If an opponent resurrects, Johnny instantly gains 1 bar of power. Strike Force Johnny Cage gains up to +50-100% damage and +15-25% power generation as he loses health. All Strike Force teammates do +10-30% damage vs. Netherrealm characters.
Stunt Double Johnny Cage	Stunt double attacks on tag in, stunning the opponent.
Black Dragon Kabal	On Tag-in, Kabal stuns and curses the opponent. When reduced to below 50% health, Kabal gets 15-35% chance for unblockable attacks. When a Black Dragon teammate is defeated, Kabal will tag-in and if unblocked, will perform his Fatal Blow attack. Black Dragon teammate combo enders and special attacks count as sneak attacks (cannot be dodged).
Klassic Kabal	When Klassic Kabal tags-in, he stuns the opponent with his dash. He gains Venom on successful tag-in attack and Combo Enders. Each stack of Venom slightly increases speed, gives a 5% power generation boost, and a 3% chance to counter-attack the opponent’s basic attack. When Klassic Kabal collects 3 stacks of Venom, he can use them to gain Adrenaline for 10 sec. While Adrenaline is active, it gives Klassic Kabal a speed boost from the collected Venom, and a 30% unblockable Special Attack chance. Performing SPl mini-game at 80%+ will apply Poison to the opponent.in.
MK11 Kabal	When MK11 Kabal tags-in, he gains speed increase for 4-12 seconds and stuns the opponent with his dash. When an MK11 teammate is stunned, Kabal will attempt to stun the opponent and remove stun from his teammate. When an MK11 teammate is defeated, Kabal will tag-in and if unblocked, will perform his Fatal Blow attack.
Black Dragon Kano	Black Dragon Kano inflicts a 3-5 second cripple or weaken on combo enders. For each Black Dragon teammate, Kano gains 1 bar of power and +5-15% health at the start of the match.
Commando Kano	+25% critical hit chance. Immune to blind.
Klassic Kano	Any attack blocked by the opponent has a 25% chance of stunning the opponent. Kano has 100% critical hit chance against enemies affected by stun.
Standard Kano	+30% attack if the opponent has 40% or lower health.
Balanced Kenshi	All Spec Ops teammates start with one bar of power.
Elder God Kenshi	When opponents are defeated by Kenshi's special attacks, he and his teammates gain a bar of power. Elder God teammates are immune to critical attacks and have +20% critical hit chance on Basic Attacks.
MK1 Kenshi	After 3 successful Combo enders, Kenshi MK1 can summon the ancestors' spirit that unleashes a terrifying Spectral attack on the opponent. Performing mini-games at 80%+ activates the chain of attacks with progressively increasing speed, damage and critical attack chance. Kenshi applies Blind for 2 sec. for each Spectral attack performed. When Kenshi defeats an opponent, he applies Team Ancestors Damnation which power drains opponents and prevents from generating power for 5 sec.
Possessed Kenshi	Ambushes opponent on tag-in, setting victim on fire.
Ronin Kenshi	When Kenshi blocks a Special Attack, his attacks gain 100% unblockable and critical for 2-4 seconds. +30% attack for each Ronin teammate vs. Martial Artists.
Standard Kenshi	+40% attack when teamed with Martial Artists; +40% health when teamed with Spec Ops.
Shokan Warrior Kintaro	If Kintaro successfully blocks a special attack he has a Chance to retaliate with a jump stomp on the opponent which applies fire DOT. Kintaro and his Team have increased resistance to fire DOT.
Assassin Kitana	Ambushes opponent on tag-in with vicious stabs causing bleed for 5-15 seconds. Assassin Characters generate 10-30% more power. Assassin Kitana is immune to critical hits.
CoS Kitana	After defeating an opponent, Kitana enslaves the victim to fight for her, once per match. The enslaved Character does not have their passive ability or Equipment but has 20-50% of their health. Bosses are immune. If Kitana has 2 Circle of Shadow teammates, she can use her passive twice. Kitana gains 25% Lethal Blow chance against opponents affected by Weaken. Circle of Shadow Characters are immune to fear.
Day of the Dead Kitana	On enemy resurrection and when anyone is defeated, Kitana and Outworld teammates receive regen that recovers 20-40% of their health over 5-10 seconds. Day of the Dead Kitana is immune to bleed.
Edenian Blood Kitana	Edenian Blood Kitana can use her Power to create a defensive Whirlwind around herself. Edenian Blood Kitana spends 33% of Bar of Power per second to keep the Whirlwind active, reducing incoming damage by 70% and reflecting all debuffs to her opponent. If she manages to maintain the Whirlwind for 3 seconds or more, instead of disappearing it will transfer to the opponent and explode after 3 seconds, dealing high damage and applying Stun to the opponent. The explosion can be avoided by tagging-out before the explosion countdown ends. While Whirlwind is active, Edenian Blood Kitana's tagged-out Outworld teammates generate additional 2% of Max Power per second.
Klassic Kitana	+30% recovery for Outworld teammates.
MK2 Movie Kitana	Kitana drains 1 Bar of power from her active opponent every 12 sec. When this effect triggers, it charges Piercing Fans extra attack with Weak Points minigame. All Kitana's Power Drain also affect tagged-out foes, draining them for an additional 20% from the power of the effect. Piercing Fans: During this attack, three Weak Points on the opponent should be targeted in the correct order of their appearance. Kitana throws one Fan for each successfully targeted Point. Each fan hit applies Pierced effect for 3 seconds. It removes active and prevents gaining new buffs. Affected opponents can't tag out and Kitana has a 100% Crit chance boost against them.
Mournful Kitana	All Outworld teammates start with +1 bar of power.
Ronin Kitana	+30% attack for each Ronin teammate vs. Outworld. All Ronin characters gain 10-20% critical hit chance for each Ronin character on team.
Blood God Kotal Kahn	Kotal Kahn summons a Totem on his Special Attack 2, choosing between damage boost, healing, or power generation boost.
Dark Lord Kotal Kahn	Dark Lord Kotal Kahn summons an Osh-Tekk warrior to fight in his place after using his Sword Quake (special attack 2). Maximum 2 warriors per battle.
Standard Kotal Kahn	+15% attack for Outworld teammates.
Sun God Kotal Kahn	+30% attack for Outworld teammates.
Bojutsu Kung Jin	Kung Jin gains power when blocking attacks.
Marksman Kung Jin	Kung Jin's finishing arrow from his combo ender inflicts unique effects: Life drain, stun, or fire.
Shaolin Kung Jin	All Martial Artists teammates start with 1 bar of power.
Standard Kung Jin	+30% critical hit chance for all Martial Artist teammates.
CoS Kung Lao	When using special attacks Circle of Shadow Kung Lao has a 20-40% chance to get it free. All Circle of Shadow teammates start combat with +0.5-1.5 bar of power.
Hat Trick Kung Lao	All Martial Artist teammates deal +50% critical damage. Kung Lao has +25% critical hit chance.
Shaolin Fist Kung Lao	While Kung Lao is tagged-in, all Martial Artists on his team get +50% power generation. If Kung Lao defeats an opponent, this bonus is increased to +100%.
Shaolin Master Kung Lao	All Bronze teammates receive +300% attack, health, toughness, and recovery.
Nightmare Leatherface	After performing or being attacked with a combo ender, Leatherface has a 30% chance to become enraged: 200-300% damage boost for 4-6 seconds. Whenever a teammate stuns an opponent, there is a 30-50% chance Leatherface will come running from behind to attack.
Lin Kuei	+5% health for Martial Artist teammates
CoS Liu Kang	When Liu Kang starts a match, he has 100% critical hit chance and his opponent is stunned for 3-5 seconds. In Faction Wars, 25-35% chance for Lethal Blow. Lethal Blows heal all Circle of Shadow teammates for 5-15% of the damage dealt.
Fire God Liu Kang	Each time Fire God Liu Kang is affected by Fire DOT or he applies Fire DOT to an enemy, Liu Kang slightly heals and gains 1 Dragon Fire, permanently increasing his total Health by 5%. Additionally, the more Dragon Fire acquired, the more powerful Fire God Liu Kang becomes: 1 Dragon Fire - Bicycle Kick (SP1) applies Fire DOT. 2 DFs - 50% Basic damage boost. 3 DFs - Achieving 80%+ on Bicycle Kick (SP1) extends the attack, dealing more damage. 4 DFs - Flying Dragon Kick (SP2) also applies Shield Break. 5 DFs - Achieving 90%+ on Bicycle Kick (SP1) extends the attack a second time, dealing even more damage.7 DFs - 200% Basic damage boost
Flaming Fists Liu Kang	On tag in, Liu Kang receives a Speed increase, +100% basic attack damage, and +25% critical hit chance for 5 seconds.
Klassic Liu Kang	Liu Kang heals when affected by Fire, and is immune to Bleed, Poison, and Power Drain effects. Incoming DOTs instead grant Liu Kang 30-50% Critical Hit chance boost, and Power Drain grants 30-50% basic attack damage boost. Liu Kang and teammates apply Cripple on tag-in.
MK11 Liu Kang	MK11 Liu Kang has a 35% unblockable chance on Special Attacks. With each successful hit Liu Kang applies a Concussion effect to his opponent, which stacks up to 20-50 times. Each Concussion increases Critical Hit chance and Unblockable Attack chance against the opponent by 1%. Liu Kang counterattacks the opponent's Special Attacks with a chance equal to the number of Concussion effects on the opponent. For 15 seconds after tag-in, MK11 characters in Liu Kang's team are immune to Blind and their attacks cannot be dodged.
Klassic Mileena	When Mileena KO's an opponent, she recovers a percentage of that enemy's max health. Female teammates gain health when Mileena KO's an opponent.
MK1 Mileena	MK1 Mileena's Combo Enders apply Disease which decreases the opponent's maximum health by 4% (1% for bosses) and stacks up to 5 times. For each Disease on the opponent, Mileena's Lethal Blow Chance increases by 2% (1% for bosses). On the 5th stack, Poison applies on the opponent for 10 sec. and their unblockable attack chance decreases by 20%. MK1 Mileena can transform into Tarkat form by spending 1/0.9/0.8 power bars and gain Tarkat Hunger for 7/8/9 sec. During it Mileena vampirizes 40% of Basic Attacks damage, her X-Ray disables, and opponent can't tag-out. When Tarkat Hunger ends, Mileena transforms back and applies Primal Fear to the opponent for 3 sec. While this debuff is active, the opponent injures themselves and loses power over time.
Piercing Mileena	Attacks on bleeding enemy heal Mileena for 25% of damage dealt. Any bleed on Mileena grants her +1 bar of power.
Ravenous Mileena	A Tarkatan warrior attacks before Mileena tags-in, causing bleed with a 80-100% chance to stun. Also, everyone on her team deals +80-100% more damage on all fire/poison/bleed DOTs.
Vampiress Mileena	Any opponent fighting against Mileena for 10 seconds starts to bleed. Mileena gets regen on her Early Lunch (special attack 2), if opponent is suffering from bleed. All Netherrealm Characters gain +50% damage boost against enemies affected by bleed.
Monk	Upon death, each of his teammates receive 1 bar of power.
