character	description
CoS Nightwolf	Circle of Shadow Nightwolf can impale an opponent throwing his Spirit Tomahawk, that remains in their body. Impaled opponent cannot restore their health. Summoning the Tomahawk back interrupts opponent's Basic Attacks and applies Slow for 10 seconds. Upon retrieval, Nightwolf instantly restores 1-3% of his max Health for each second the opponent has been impaled with the Tomahawk. Maximum 10-30%. If the opponent impaled with the Tomahawk tries to tag out, Nightwolf interrupts them, summoning the Tomahawk back. Nightwolf assists Circle of Shadow teammates with a Tomahawk throw upon their Block Breaker Basic Attacks, dealing damage and applying Shield Break for 5 seconds. Can trigger once per 5 seconds. He also assists his teammates upon opponent's tag-in, draining 1 bar of foe's power and dealing damage with a Tomahawk throw.
Klassic Nightwolf	Basic Attacks add Might, granting Klassic Nightwolf a 7% Basic Attack damage boost and increasing power generation by 2%. Might last 2 seconds and stacks up to 12 times. If Nightwolf is hit, then 1 stack of Might is removed. At 10 stacks or more, Nightwolf can use all Might to apply Spirit Wrath to the opponent for 12sec. While under Spirit Wrath, opponent has their debuff resistance or reflect ignored, and is additionally struck by lightning during Nightworlf's Special Attacks.
MK11 Nightwolf	When MK11 Nightwolf enters the fight, he calls to one of the spirit animals. Each spirit endues Nightwolf with power in the battle. Kiba the Wolf - Special Attack 1 applies Shield Break. Nightwolf gets 20% Basic damage boost stack every time he successfully performs any Special Attack. Komo the Bear - Special Attack 1 applies Cripple. Nightwolf has 20% chance to reflect Basic Attack and Special Attack 1 damage back to an opponent. Hana the Eagle - Special Attack 1 applies Power Drain. The Power Nightwolf's active opponent is gaining in the battle is reduced by 30%.
Darkest Knight Noob Saibot	On tag-in and on sucessful Fatal Blow, Darkest Knight Noob Saibot infects the current opponent with Madness, which lasts 9sec. Madness increases all incoming damage to the opponent, and reduces all damage dealt by the victim. Additionally, upon the first use of Special Attack 2 at the start of the match and after each tag-in, Noob can choose its combat effect from Cripple, Slow or Shield. If the opponent is knocked out or won't tag out before Madness ends, Noob creates a Minion Clone of them and can swap with it via the Puppet Master ability. Swapping with the Minion cannot be prevented, but the Minion can swap only with Noob. The Minion has a 50% unblockable attack chance and a 25% that any opponent's attack against him will miss.
Klassic Noob Saibot	Noob Saibot's Ghost Ball (Special Attack 1) disables his opponent's block, making all incoming attacks considered Unblockable for 10 seconds. When Special Attack 2 is performed at 80%+, it activates a continuous chain of Special Attacks, up to 6 times.
Lizard Noob Saibot	Lizard Noob Saibot gains energy from shadow each time he spends or loses his power. When his shadow energy bar completes, the Shadow Attack is available. This attack lets him choose any opponent as target and apply inevitable Snare. If the chosen opponent is tagged out, Noob will force them to stay in the fight through the portal. Upon defeating an opponent, Lizard Noob Saibot can resurrect a chosen teammate with 20% max health points. The number of times they revive is limited by the number of Lizard teammates.
MK11 Noob Saibot	MK11 Noob Saibot's Special Attacks apply Death Mark to his opponent, disabling all forms of resurrection and increasing future damage done by 10% for 20 seconds, stacking up to 3 times. After performing successful Special Attack 2, MK11 Noob Saibot summons his Shadow to fight in his place. Shadow starts with 15-25% of Noob Saibot's current Health. Max 3 Shadows per battle. When MK11 characters block an enemy Special Attack, Noob Saibot's Shadow counter-attacks and applies Death Mark.
Oni	When defeated, the opponent loses 1 bar of power.
Osh-Tekk	+5% attack for Outworld teammates.
CoS Quan Chi	Quan Chi can reflect damage from first three special attacks back at the opponent. Quan Chi's basic attacks have 10-30% chance to be unblockable. On tag-in, Circle of Shadow team members are granted vampirism on unblocked attacks for 10-20 seconds.
Warlock Quan Chi	Reanimates a dead teammate with 25% health. Max once per fight.
Dark Raiden	Bleed, fire and poison will heal Dark Raiden instead of damaging him. Power drain gives power instead of draining it.
Injustice 2 Raiden	Raiden's combo ender and special attacks do 10-20% damage to tagged-out opponents. While Raiden is active he lightly/moderately/heavily siphons opponent's power. Teammate's special attacks have a chance to Stun.
Klassic Raiden	Each time Raiden tags in, lightning strikes the active opponent, removing 20-40% of their current health and 20-66% of their power. Bosses are Immune. Raiden counts as Outworld and Martial Artist.
Klassic Movie Raiden	With a long tap on the screen with one finger, Raiden can accumulate Thunderstorm Energy to unleash crushing damage on the enemy, taking 4-10% of the boss's SP and 10-30% of the regular enemy's HP and applying Slow. During the energy accumulation, Raiden is especially vulnerable and any Basic or Special Attack can interrupt his concentration, deal increased damage and energy will need to be accumulated again. After performing Electric Rage (Special Attack 2), the enemy is enveloped in a lightning trap that prevents them from taking any action. The enemy can try to escape faster than the lightning will disperse on its own by beating the mini-game.
MK11 Raiden	30-50% Chance to stun the opponent on successful combo ender. When MK11 Raiden performs 3 combo enders, he disables the opponent's combo enders for the entire match.
Thunder God Raiden	When Raiden tags in, lightning strikes the opponent removing 20% of their current health.
Edenian Blood Rain	Edenian Blood Rain gains Tidal Might over time of every opponent affected by Soaked. Tidal Might empowers his Special Attacks and deals additional damage by lightning. Rain can use his extra attack Low Tide to apply Fear and Soaked for 20 seconds. He can also apply Soaked for 7 seconds on one of his Basic Combos. Low Tide has an 8-second cooldown.
Klassic Rain	Klassic Rain gains +15% Power generation increase till the end of the match per unique lasting negative effect applied by him or a teammate. Power Generation effect stack up to 7 times. Klassic Rain's Combo Ender have 20% chance to apply Soaked. Any negative effect applied to a Soaked enemy by a Klassic teammate has 35-75% chance to be applied as a Team negative effect.
MK11 Rain	MK11 Rain starts a match with one bar of Power. Rain has a 5-10% chance to immediately counter-attack an opponent's Basic Attacks. This counter-attack applies the Soaked debuff. Characters affected by Soaked are Slowed and take 10-35% more damage from Lightning Attacks. When an active enemy is affected by Soaked, each instance of Lightning attack will hit all enemies affected by Soaked (including those tagged out). Soaked lasts 10-20 sec.
Klassic Reptile	Whenever opponents tag-in, there is 60-80% chance they become poisoned (even when Reptile is tagged-out or defeated). All Outworld characters on Reptile's team have 60-80% critical hit chance against enemies affected by poison and have immunity to poison.
Kraken Reptile	When Reptile is hit by any attack, there is a chance acid blood splashes the enemy dealing unavoidable damage.
Nimble Reptile	+30% health for Outworld teammates.
Noxious Reptile	The entire team's bleed and poison damage are increased +30%.
Standard Reptile	+15% health for Outworld teammates.
Saurian	+5% health for Outworld teammates.
Hanzo Hasashi Scorpion	10% chance on basic attacks and 50% chance on combo enders to apply bleed. Hanzo Hasashi's bleed DOTs can stack. Martial Artists have a chance for -50% power cost for special attacks against enemies affected by bleed.
Hellspawn Scorpion	Martial Artists on Scorpion's team start the match with +1-1.5 bar of power. Also, Scorpion is immune to critical damage and takes 30-50% less damage from Netherrealm opponents.
Inferno Scorpion	Each time Inferno Scorpion tags-in, he gets +200% basic attack damage for 6 seconds.
Injustice Scorpion	+25% damage against enemies affected by fire.
Klassic Scorpion	Achieving 80%+ on the Spear (Special Attack 1), makes it unblockable and pulls the most wounded opponent from the enemy team into combat and causes Bleed.
Kold War Scorpion	Achieving 80%+ on Flame Shield (Special Attack 2) applies Fire DOT for 3-9 seconds to the entire enemy team. Kold War Scorpion is immune to fire. All Kold War Teammates that achieve 90-80%+ on Special Attack 2 apply Fire DOT on the enemy.
MK1 Scorpion	When MK1 Scorpion successfully hits his opponent, he gains 2% of Fire Vitality Energy. Successful Special and Fatal Blow Attacks gain more Fire Vitality Energy:Special Attack 1 - 10% of Energy.Special Attack 2 - 30% of Energy.Fatal Blow - 50% of Energy.When a Fire Vitality bar fills, MK1 Scorpion gains Shield for 7 seconds and increases his Attack based on the Fire Vitality meter:1 bar - 10% Attack Boost.2 bars - 15% Attack Boost.Full/3 bars - 25% Attack Boost.When MK1 Scorpion receives fatal damage, if the Fire Vitality meter is full (3 bars), he ignites to stay alive and the Fire Vitality meter starts to drain. Ignited MK1 Scorpion is immune to damage and all negative Kombat Effect. He cannot be tagged out, and his power generation is increased by 20%. If ignited and the Fire Vitality meter has completely drained, he explodes and deals heavy damage to the active opponent.
MK11 Scorpion	Apply fire to 1-3 opponent(s) for 5-9 seconds at the start of the match and when MK11 Scorpion tags-in. Fire DOTs add up together. MK11 teammates have 25% chance for Lethal Blow on basic attacks.
Ninjutsu Scorpion	+30% attack for Martial Artists.
Standard Scorpion	+15% attack for Martial Artists.
Strike Force Scorpion	When a teammate would be KO'd, Scorpion tags-in and counter-attacks with low/medium/heavy damage; saved teammates recover 5-15% of their health. Having 2 Strike Force teammates allows Scorpion to make an additional save. Strike Force teammates power drain on tag-in.
Sergeant	+5% health for Spec Ops teammates.
Klassic Shang Tsung	On Combo Enders Klassic Shang Tsung can randomly morph into one of the Klassic Characters and perform their Combo Ender instead. On Special Attack 2 Klassic Shang Tsung can choose a Klassic Character to morph into and perform their Special Attack 2: Klassic Liu Kang - 'Soul of the Dragon' applies Stun. Klassic Rain - 'Mind Control Orb' applies Soaked. Klassic Raiden - 'Power Discharge' applies Weaken. Klassic Jax Briggs - 'Backbreaker' applies Cripple. Klassic Ermac - 'Certain Death' applies Snare. Opponent's have a 75% chance to miss Shang Tsung with Basic and Special attacks for 3 seconds after any of his morphing moves. Shang Tsung's own Special Attack 2 'Corpse Drop' drains 50% of an opponent's current power.
MK1 Shang Tsung	MK1 Shang Tsung gathers opponent's Blood to craft powerful Elixirs and conduct his ominous experiments. Each combo ender has a chance to be an Injection that gathers the Blood and adds it to the Blood Pool. Shang Tsung collects the same amount of Blood on tag-in attack, and Special Attack 2 "Injection" fills the whole Pool. When the Pool is full, an Elixir of choice can be crafted. It can be injected into the opponent's body to apply a powerful effect that leaves debilitating post-effect till the end of the match: Yellow Elixir - drains all opponent's power in 1 sec. and leaves them with power generation reduced by 10%. Red Elixir - stuns opponent for 3 sec. and leaves them slowed down by 10%. Green Elixir - increases damage received by the opponent by 100% for 5 seconds and leaves them with 10% less chance to block an incoming attack. If an opponent is killed while any Elixir effect is active - he resurrects on Shang Tsung's side as Meat. It cannot use equipment or passive effects, but has a 35% Critical Hit and Unblockable attack chance boost. Shang Tsung is healed by 15-25% of damage done by the creature. Shang Tsung can be tagged-in while his teammates are under Basic Combo attacks, counterattacking with a tag-in attack.
MK11 Shang Tsung	On tag-in MK11 Shang Tsung morphs into one of his non-boss opponents for 10-20 seconds, allowing him to use their own Special Attacks and X-Ray/Fatal Blow. When below 2 Bars of Power, MK11 Shang Tsung passively generates Power over time.
Konqueror Shao Kahn	Once per match, Emperor's Bash (Special Attack 2) instantly defeats a non-boss opponent if under 20-40% health. Shao Kahn has a 35-45% chance of helping tagged-in Outworld teammates by throwing his hammer at the opponent.
Bone Shaper Shinnok	For each defeated fighter on any team, Shinnok's attack increases by 25%. On any enemy resurrect, Shinnok's attack increases by 25%.
Vengeful Shinnok	Shinnok can gain Shadow Armor by executing a Combo Ender. This halves damage from Special Attacks and causes bleed when special attacks are blocked. +20% critical hit chance for all Netherrealm Characters on the team
Shirai Ryu	+5% attack for Martial Artist teammates.
Edenian Blood Sindel	Edenian Blood Sindel applies a Resonance effect on her Combo Enders. It reduces her opponent's speed by 3% and stacks up to 3 times. If her opponent is affected by 3 Resonance effects, 5 times per match Sindel can use her Banshee Scream counter-attack, removing all Resonance effects, dealing damage, and plunging her foe into the Sonic Shock state for 5 seconds. Sonic Shocked characters cannot attack, block, or tag-out, and all basic Basic Combo Attacks against them gain Power Steal. Sonic Shock ends if they are damaged by a Special Attack. Special Attacks' damage is increased by 50% against opponents in Sonic Shock. For each additional Edenian Blood teammate, Sonic Shock duration is increased by 1 second.
MK11 Sindel	1-3 Times per match at the moment of her choice, MK11 Sindel can counter-attack enemy's Basic Attack with a move that applies Stun. On successful Combo Ender, Maleficent March (Special Attack 2) and Edenian Royal Decree (Fatal Blow), Sindel's scream applies Weaken to the opponent. MK11 Sindel has 50% chance to apply Shield Break for any Special Attack performed against her.
Assassin Skarlet	At the start of the match, Assassin Skarlet applies bleed to all opponents for 5-15 seconds. While Skarlet is active, she steals 1-1.66% of a bleeding opponent's power every second. Assassin characters have 10-30% Lethal Blow chance against opponents who have less than 50% health.
Klassic Skarlet	Each opponent of Klassic Skarlet starts the fight with 15 Blood Droplets. After fighting an enemy for 3 sec, she starts stealing the Droplets over time and causing Anemia when all are stolen. Fighting against an Anemic foe, Skarlet gradually steals their power and Retch-Rebution (Special Attack 2) starts healing her for 50% of the damage dealt. For each Blood Droplets stolen, Skarlet receives 1% less damage. When defeated, Klassic Skarlet deals damage to the active opponent based on the number of Droplets she has collected. Skarlet's Special Attack 1 and Fatal Blow apply stacking Gash effect that deals damage over time based on her attack stat.
Kold War Skarlet	Whenever reduced to below 30% health Kold War Skarlet gains Krimson Shield, which reflets back 50% of the enemy's initial damage from Basic Attack, Special Attack, and X-Ray/Fatal Blow damage. All Kold War teammates have a 40-60% chance to gain Krimson Shield for 7-12 seconds on Special Attack 1.
MK11 Skarlet	When MK11 Skarlet defeats an opponent, she makes blood rain for 20-40 seconds. While it is raining blood, MK11 Skarlet gets a 20-50% damage boost and MK11 teammates apply bleed on combo enders as well as gain light/moderate/heavy vampirism against bleeding opponents.
Klassic Smoke	Any opponent fighting against Klassic Smoke for 10 seconds gets affected by Blind. Each time Klassic Smoke or his Klassic teammate resists a debuff, this debuff is instead applied to the opponent.
MK1 Smoke	Every 10 seconds MK1 Smoke can throw a smoke bomb and activate Ninjutsu for 8-12 sec. During Ninjutsu, MK1 Smoke performs unique Combo Enders with a 150% damage boost for them. Ninjutsu activation and each unique Combo Ender grants Smoke a stack of Fuming buff. It increases his Basic Attacks unblockable chance by 10% and stacks up to 7 times. On the maximum stacks, Smoke gains +10-30% Critical Hit chance boost. Additionally, MK1 Smoke applies Bleed on tag-in.
Demolition Sonya Blade	+30% attack for Spec Ops teammates.
Klassic Sonya Blade	Sonya's Neutralized (special attack 1) deals damage to the entire enemy team and breaks their shields. Also, all Spec Ops on her team ignore enemy toughness.
Klassic Movie Sonya Blade	Along with all other attacks, Klassic Movie Sonya Blade can perform special Combo Sequences. These Combo Sequences spend 0.8-06 of Bar of Power and can be repeated after 8-6 seconds. Sequences can be Amplified by additional moves. "Beatdown Hit" - Sonya's fists can pierce any enemy! You can Amplify this attack with Shield Break. Tap → Swipe left → Swipe right → Swipe up. Amplify: Swipe right "High Counter Hit" - Break your enemy's bones! You can Amplify this attack with Cripple. Swipe down → Swipe left → Swipe right → Tap. Amplify: Swipe down "Leg Takedown Hit" - Shake your enemy's brains! You can Amplify this attack with Extra Damage. Swipe right → Swipe down → Swipe up. Amplify: Tap
Kold War Sonya Blade	Each Team member starts encased in Ice Armor that reduces 60-90% damage of a special attack or X-Ray/Fatal Blow for 8 seconds. Kold War Characters have no time limit on Ice Armor. All Kold War Teammates have a 40-60% chance to gain Ice Armor on special attack 2.
Kombat Cup Sonya Blade	All Kombat Cup characters on team are immune to stun. The first time Sonya tags-in, she forces the opponent to tag-out and lose all power. That forced-out opponent has recovery and power generation disabled and cannot tag-in. Bosses are immune.
Standard Sonya Blade	+15% attack for Spec Ops teammates.
Tactical Sonya Blade	Sonya Blade activates a Drone on her Special Attack 2, choosing between multiple attack modes: stunning explosion, unblockable blast, or double damage detonation.
Tormented Soul Spawn	During the fight, Spawn generates Necroplasm energy over time. Generation while tagged-out is 5% per second. Generation while tagged-in is based on the number of alive teammates: 2 teammates - 3% per second, 1 teammate - 4% per second, Spawn is the last (or the only) character - 5% per second. When Spawn accumulates one or more bars of Necroplasm, he can counterattack the enemy and spend the available bars of Necroplasm. The more Necroplasm bars are accumulated, the stronger the counterattack will be. While tagged-in, Spawn gains 10% Attack Boost for the first active Necroplasm bar and an additional 5% per each next one. 1 bar - low damage, 2 bars - medium damage + Stun, 3 bars - high damage + Stun + Cripple
CoS Sub-Zero	Circle of Shadow Sub-Zero gains +5-15% attack damage and power gain for every Circle of Shadow character on his team. Circle of Shadow Characters have +5-15% chance for lethal blows.
Cryomancer Sub-Zero	+30% health for Martial Artists.
Grandmaster Sub-Zero	Sub-Zero replaces himself with a decoy; evading a fatal blow.
Klassic Sub-Zero	Performing Slide Kick (Special Attack 2) at 80%+ activates a continuous chain of Special Attacks. Can be chained up to 6 times.
Kold War Sub-Zero	Increases team's power generation and decreases opponents power generation for each Kold War team member. Kold War Sub-Zero does +50% critical damage against enemies affected by frostbite. Kold War teammates using Special Attacks have a 30-50% chance to cause frostbite.
MK11 Sub-Zero	Any opponent fighting against MK11 Sub-Zero for 12-8 seconds gets frostbite. When performing combo enders against frostbitten opponents, MK11 Sub-Zero has a 15-35% chance of freezing them. Sub-Zero saves each MK11 teammate once, by replacing him or her with an Ice Clone. The Ice Clone explodes, dealing low/medium/heavy damage and causing bleed.
Onslaught Sub-Zero	When Onslaught Sub-Zero receives fatal damage, once per match he encases himself in Cryoshell. While Cryoshell is active, he becomes invincible and gains up to 50% of max. health and full power over time. The opponent must hit the Cryoshell 15 times to shatter it. For each Combo Ender against it, the opponent receives a stack of Coldgrip. Each Coldgrip increases Special Attack damage taken by the opponent by 10% and adds a 20% chance to Freeze them on a tag-out attempt. Coldgrip is also applied on any Special Attack, up to total of 5 stacks. Sub-Zero assists his teammates every 12 with an Ice Ball, which applies a stack of Coldgrip.
Standard Sub-Zero	+15% health for Martial Artist teammates.
Ronin Takeda	+30% attack for each Ronin teammate vs. Spec Ops. All Ronin Characters gain 10-30% critical damage for each Ronin Character on team.
Shirai Ryu Takeda	When Takeda successfully blocks any basic attack, there is a chance he counters. Kung Jin, Cassie Cage, and Jacqui Briggs gain +30% damage, health and critical hit damage when on the same team.
Kobu Jutsu Tanya	Thrice per match, Spinning Stab (special attack 2) deals 25% of its damage to the entire enemy team and breaks shields. In Faction Wars, 25% chance for Lethal Blow.
Pyromancer Tanya	Surging Blast (Special Attack 2) and a unique Combo Ender that has 30% chance to be performed, powder the opponent with Devil's Dust that sticks for 20 sec. Characters affected by Devil's Dust are Blinded and take 50% more damage from Fire Attacks and Fire DOTs. Martial Artist and Outworld teammates' Combo Enders become Fire Attacks and apply Fire DOT, stacking up to 2 times on opponents affected by Devil's Dust.
Treacherous Tanya	Tanya disables her opponent's Equipment card on any successful Special Attack. Power Drain has a reduced effect on her teammates.
Dark Fate Terminator	Terminator cancels all Krushing Blows, X-Ray Attacks and Fatal Blows performed against him. After being defeated Terminator turns into an Endoskeleton. When in Endoskeleton mode he regains all health, loses all power, does not generate power and cannot tag-out, but is immune to poison, bleed and fire, and takes 10-30% less damage. 
Guardian Terminator	Guardian Terminator has a 30-60% chance to save any active teammate from Special Attack. When triggered, Guardian Terminator automatically tags in and blocks the attack, receiving 50% less damage from the attack and all other blocked attacks for the next 7-15 seconds, and gains 1 bar of power. This effect triggers as long as Guardian Terminator is above 30% Health and tag-in is off cooldown. Guardian Terminator cancels all Krushing Blows, X-ray Attacks and Fatal Blows performed against him.
Ace of Knaves The Joker	Joker owns thee card decks with different unique abilities. Each time Joker enters the fight, he chooses one deck that he is going to use in this battle. By using cards from the active deck, Joker inflicts damage on the opponent and also applies this deck's corresponding unique effect. The amount of cards inside the deck is limited. Venom Deck - The card intoxicates the opponent with "Joker's Juice". The affected opponent has a 50% chance to miss their attacks and takes small damage over time. Grinning Deck - The explosive card deals medium damage, temporarily disables opponent's Special Attacks, and has a 50% chance to destroy opponent's armor or weapon. Buzzer Deck - The card attaches a tiny buzzer that will continue to strike the opponent with electricity until it is out of battery. It deals more and more damage along with draining power with every strike. To remove the buzzer, the opponent has to tag-out.
Aftershock Tremor	Each time Aftershock Tremor tags-in, the weakest enemy tags-in and is stunned. Martial Artists on the team have a chance of unblockable attacks against Netherrealm.
Black Dragon Tremor	After using a special attack, Black Dragon Tremor sheds his Gold Skin and gains Lava Skin. While in Gold Skin form, Black Dragon Tremor gains 30-70% resistance to all debuffs. While in Lava Skin form, Black Dragon Tremor's next special attack will have fire effect, and his special attack 2 will also deal 20-50% damage to tagged-out opponents. Black Dragon Tremor switches between skin forms each time he uses a special attack.
Cyrax (LK-4D4) Triborg	All Triborg characters on your team gain increased critical hit chance for special attack 1 and everyone on your team gains +50% critical damage.
Sektor (LK-9T9) Triborg	All Triborg characters on your team gain fire for special attack 1 and everyone on your team deals +30% more fire damage.
Smoke (LK-7T2) Triborg	All Triborg Characters on your team gain power drain for Special Attack 1 and everyone on your team steals 50% of any power they drain and distributes it to the team.
Sub-Zero (LK-520) Triborg	All Triborg characters gain a support robot to improve any special attack with frostbite. On tag-in he gains a 5-second ice shield. His teammates have +50% critical hit chance against enemies affected by freeze.
Trooper	+5% attack for Spec Ops teammates.